Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;326;250;402;100;30;30;0;326;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;280;216;344;100;31;31;0;280;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;285;219;351;100;31;31;0;285;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;285;219;351;100;31;31;0;285;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;280;216;344;100;31;31;0;280;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;564;434;694;100;31;31;0;564;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;466;408;524;100;30;30;0;466;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;484;425;543;100;30;30;0;484;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;484;425;543;100;30;30;0;484;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;466;408;524;100;30;30;0;466;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;950;832;1068;100;30;30;0;950;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;298;260;336;100;31;31;0;298;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;306;266;346;100;31;31;0;306;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;306;266;346;100;31;31;0;306;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;298;260;336;100;31;31;0;298;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;603;526;680;100;31;31;0;603;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;388;331;445;100;31;31;0;388;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;395;336;454;100;31;31;0;395;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;395;336;454;100;31;31;0;395;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;388;331;445;100;31;31;0;388;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;783;667;899;100;31;31;0;783;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;393;341;445;100;30;30;0;393;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;401;348;454;100;30;30;0;401;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;401;348;454;100;30;30;0;401;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;393;341;445;100;30;30;0;393;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;794;689;899;100;30;30;0;794;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;243;198;288;100;31;31;0;243;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;246;200;292;100;31;31;0;246;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;246;200;292;100;31;31;0;246;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;243;198;288;100;31;31;0;243;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;488;397;579;100;31;31;0;488;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;232;194;270;100;30;30;0;232;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;233;195;271;100;30;30;0;233;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;233;195;271;100;30;30;0;233;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;232;194;270;100;30;30;0;232;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;466;390;542;100;30;30;0;466;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;141;110;172;100;31;31;0;141;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;142;110;174;100;31;31;0;142;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;142;110;174;100;31;31;0;142;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;141;110;172;100;31;31;0;141;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;283;219;347;100;31;31;0;283;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;222;178;266;100;31;31;0;222;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;224;179;269;100;31;31;0;224;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;224;179;269;100;31;31;0;224;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;222;178;266;100;31;31;0;222;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;446;357;535;100;31;31;0;446;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;187;147;227;100;28;28;0;187;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;188;149;227;100;28;28;0;188;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;188;149;227;100;28;28;0;188;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;187;147;227;100;28;28;0;187;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;375;296;454;100;28;28;0;375;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;101;76;126;100;31;31;0;101;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;101;76;126;100;31;31;0;101;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;101;76;126;100;31;31;0;101;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;101;76;126;100;31;31;0;101;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;202;152;252;100;31;31;0;202;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;213;153;273;100;30;30;0;213;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;212;152;272;100;30;30;0;212;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;212;152;272;100;30;30;0;212;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;213;153;273;100;30;30;0;213;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;424;304;544;100;30;30;0;424;0;Totalt;-;-;-;-;-;-;-;-
